Loan Number,Project No.,Country Name,ISO ALPHA-3 Country Code,ADB Country Code,Country Group,"Country classification, latest ","Country classification, at approval",Department,Project Name,"Modality
(AER)",Mode of financial assistance,ADF or OCR?,Source of funds,"Approved amount 
(USD mil)","Disbursed amount
(USD mil)",Approval date,Approval year,Loan signing,Loan effectivity (original),Loan effectivity (actual),Closing date (estimate),Closing date (actual),"Cofin, app
(USD mil)","Cofin, act
(USD mil)","Proj Cost, app
(USD mil)","Proj Cost, act
(USD mil)",Sector (2009),Subsector (2009),Primary Sector (PCS 2014),Primary Sector (PCS 2014)_3,Primary Subsector (PCS 2014),Secondary Sector (PCS 2014),Secondary Subsector (PCS 2014),RRP circulation date (BOD),PCR circulation date (BOD),PCR overall rating,PCR relevance,PCR effectiveness,PCR efficiency,PCR sustainability,With PVR?,PVR circulation date,PVR overall rating,PVR relevance,PVR effectiveness,PVR efficiency,PVR sustainability,"With PPER/
PPAR?",PPER circulation date (BOD),PPER overall rating,PPER relevance,PPER effectiveness,PPER efficiency,PPER sustainability,Source of latest rating,"AER reporting year
(PCR circ)",Latest overall rating,Latest relevance,Latest effectiveness,Latest efficiency,Latest sustainability
90,38559-022,Cambodia,KHM,CAM,Southeast Asia,A,A,SERD,Enhancing Education Quality Project,Project,Project grant,ADF,ADF,27.1,27.1,23-Nov-07,2007,18-Feb-08,18-May-08,15-Sep-08,31-Oct-14,31-Dec-14,0,0,33.39,30.71,Education,Upper Secondary Education,Education,EDU,Education sector development,„na,„na,2-Nov-07,30-Jun-16,Successful,Relevant,Effective,Efficient,Likely to be sustainable,Yes,28-Dec-16,Successful,Less than relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Successful,Less than relevant,Effective,Efficient,Likely sustainable
2877/3213,42235-013/42235-023,Viet Nam,VNM,VIE,Southeast Asia,B,B,SERD,Microfinance Development Program (Subprograms 1 and 2),Program,Program loan,OCR,ADF,90,87.3,5-Jul-12,2012,7-Sep-12,7-Dec-12,7-Jan-13,31-Mar-13,30-Sep-15,0,0,90,87.2,Finance,Microfinance,Finance,FIN,Finance sector development,„na,„na,14-Jun-12,30-Jun-16,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable,Yes,15-Dec-16,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Successful,Relevant,Effective,Efficient,Likely sustainable
3080,47337-001,Philippines,PHL,PHI,Southeast Asia,C,C,SERD,Emergency Assistance for Relief and Recovery from Typhoon Yolanda,Project,Special assistance loan,OCR,OCR,500,500,6-Dec-13,2013,23-Dec-13,23-Mar-14,28-Feb-14,31-Dec-14,31-May-15,0,0,500,500,Public Sector Management,Economic Affairs and Public Affairs Management,Public sector management,PSM,Economic affairs management,„na,„na,4-Dec-13,29-Jun-16,Highly successful,Highly relevant,Highly effective,Highly efficient,Likely to be sustainable,Yes,28-Dec-16,Highly successful,Highly relevant,Highly effective,Highly efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Highly successful,Highly relevant,Highly effective,Highly efficient,Likely sustainable
2481,39153-013,"China, People's Republic of",CHN,PRC,East Asia,C,C,EARD,Chongqing_Lichuan Railway Development Project,Project,Project loan,OCR,OCR,150,145.15,8-Dec-08,2008,26-Aug-09,24-Nov-09,23-Nov-09,30-Jun-15,3-Mar-15,0,0,"3,071.11","4,553.66",Transport and ICT,Rail Transport,Transport,TRA,Rail transport (non-urban),„na,„na,17-Nov-08,28-Jun-16,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable,Yes,28-Dec-16,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Successful,Relevant,Effective,Efficient,Likely sustainable
2872/3233,43396-013,Philippines,PHL,PHI,Southeast Asia,C,C,SERD,Increasing Competitiveness for Inclusive Growth (Subprograms 1 and 2),Program,Program loan,OCR,OCR,700,700,26-Jun-12,2012,4-Jul-12,2-Oct-12,16-Aug-12,31-Dec-15,7-Dec-12,100,100,800,800,Public Sector Management,Economic and Public Affairs Management,Public sector management,PSM,Economic affairs management,„na,„na,5-Jun-12,28-Jun-16,Highly successful,Highly relevant,Highly effective,Highly efficient,Most likely sustainable,Yes,15-Dec-16,Highly successful,Highly relevant,Effective,Highly efficient,Most likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Highly successful,Highly relevant,Effective,Highly efficient,Most likely sustainable
1949/2809,31351-013/31351-014,Lao People's Democratic Republic,LAO,LAO,Southeast Asia,A,A,SERD,Smallholder Development Project,Project,Project loan,OCR,ADF,17,18.43,28-Nov-02,2002,7-Feb-03,8-May-03,18-Jun-03,31-Oct-09,18-Sep-12,0,0,20.73,22.82,Agriculture and Natural Resources,Agricultural Production and Markets,"Agriculture, natural resources and rural development",ANR,"Agro-industry, marketing, and trade",TRA,Road transport (non-urban),7-Nov-02,27-Jun-16,Successful,Relevant,Less than effective,Efficient,Likely to be sustainable,Yes,28-Dec-16,Successful,Relevant,Less than effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Successful,Relevant,Less than effective,Efficient,Likely sustainable
2384,36008-013,Viet Nam,VNM,VIE,Southeast Asia,B,B1,SERD,Lower Secondary Education for the Most Disadvantaged Regions Project,Project,Project loan,OCR,ADF,50,50,10-Dec-07,2007,10-Jan-08,9-Apr-08,9-May-08,31-Dec-14,1-Mar-15,0,0,64,61.8,Education,Pre-Primary and Basic Education,Education,EDU,Secondary - social protection initiatives,HLT,Nutrition,19-Nov-07,23-Jun-16,Highly successful,Highly relevant,Highly effective,Highly efficient,Most likely sustainable,Yes,21-Dec-16,Highly successful,Highly relevant,Highly effective,Efficient,Most likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Highly successful,Highly relevant,Highly effective,Efficient,Most likely sustainable
2324,32298-033,India,IND,IND,South Asia,B,B,SARD,Madhya Pradesh Power Sector Investment Program (Tranche 2),Project,MFF-Tranche (Loan),OCR,OCR,45,40.75,4-Apr-07,2007,12-Apr-07,14-May-07,11-Jul-07,30-Sep-11,15-Jul-13,0,0,65.7,64.3,Energy,Energy Sector Development,Energy,ENE,Energy sector development and institutional reform,„na,„na,9-Mar-07,31-May-16,Successful,Relevant,Effective,Efficient,Likely to be sustainable,Yes,28-Dec-16,Successful,Relevant,Effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Successful,Relevant,Effective,Less than efficient,Likely sustainable
300,45032-001,Nauru,NRU,NAU,Pacific,A,A,PARD,Public Financial Management Reform Program,Program,Program grant,ADF,ADF,4,4,9-Aug-12,2012,14-Sep-12,13-Dec-12,27-Sep-12,30-Sep-14,21-Nov-14,0,0,4,4,Public Sector Management,Economic and Public Affairs Management,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,18-Jul-12,31-May-16,Successful,Relevant,Effective,Efficient,Most likely sustainable,Yes,28-Dec-16,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Successful,Relevant,Effective,Efficient,Less than likely sustainable
82,41656-012,Lao People's Democratic Republic,LAO,LAO,Southeast Asia,A,A,SERD,Northern Greater Mekong Subregion Transport Network Improvement Project,Project,Project grant,ADF,ADF,54,54,27-Sep-07,2007,26-Nov-07,25-Feb-08,15-Jan-08,30-Jun-14,20-Apr-16,47.9,46.4,118.6,107.1,Transport and ICT,Road Transport,Transport,TRA,Road transport (non-urban),„na,„na,6-Sep-07,8-Jan-16,Successful,Highly relevant,Effective,Efficient,Likely to be sustainable,Yes,28-Dec-16,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Successful,Relevant,Effective,Efficient,Less than likely sustainable
2416,33409-013,Indonesia,IDN,INO,Southeast Asia,C,B2,SERD,Vocational Education Strengthening Project,Project,Project loan,OCR,ADF,80,75.77,31-Mar-08,2008,26-May-08,25-Aug-08,9-Jul-08,30-Nov-13,30-Nov-14,0,0,115,109.42,Education,Technical Education and Vocational Skills Training,Education,EDU,Technical and vocational education and training,„na,„na,10-Mar-08,19-Jan-16,Successful,Relevant,Effective,Efficient,Likely to be sustainable,Yes,28-Dec-16,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Successful,Relevant,Effective,Efficient,Likely sustainable
2261,37041-013,Cambodia,KHM,CAM,Southeast Asia,A,A,SERD,Second Power Transmission and Distribution Project,Project,Project loan,OCR,ADF,20,20.6,4-Oct-06,2006,1-Dec-06,1-Mar-07,29-Jan-08,31-Dec-10,10-Mar-15,22.3,28.8,52.36,66.2,Energy,Electricity Transmission and Distribution,Energy,ENE,Electricity transmission and distribution,„na,„na,13-Sep-06,11-May-16,Successful,Relevant,Effective,Efficient,Likely to be sustainable,Yes,28-Dec-16,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2016,Successful,Relevant,Effective,Efficient,Likely sustainable
G0185,43152-01,Tonga,TON,TON,Pacific,A,A,PARD,Economic Support Program,Program,SDP - Program grant,ADF,ADF,10,10,3-Dec-09,2009,21-Dec-09,21-Mar-10,26-Feb-10,31-Dec-10,30-Jun-11,0,0,10,10,Public Sector Management,Multisector,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,12-Nov-09,23-Oct-12,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,28-Dec-16,Successful,Relevant,Effective,Less than efficient,Likely sustainable,Yes,17-Dec,Less than successful,Less than relevant,Less than effective,Less than efficient,Less than likely sustainable,PPER,2013,Less than successful,Less than relevant,Less than effective,Less than efficient,Less than likely sustainable
G0161,42533-022,Afghanistan,AFG,AFG,Central West Asia,A,A,CWRD,Hairatan to Mazar-e-Sharif Railway Project,Project,Project loan,ADF,ADF,165,156,30-Sep-09,2009,30-Sep-09,30-Oct-09,3-Nov-09,31-Dec-11,5-Apr-13,0,0,170,159,Transport and ICT,Rail Transport,Transport,TRA,Rail transport (non-urban),„na,„na,14-Sep-09,5-Jun-13,Highly successful,Highly relevant,Highly effective,Highly efficient,Likely sustainable,Yes,28-Dec-16,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2013,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable
G0139,41180,Tuvalu,TUV,TUV,Pacific,A,A,PARD,Improved Financial Management Program,Program,Program grant,ADF,ADF,3.24,3.24,16-Dec-08,2008,3-Feb-09,4-May-09,14-May-09,30-Sep-10,18-Aug-11,0,0,3.24,3.24,Public Sector Management,Public Expenditure and Fiscal Management,Public sector management,PSM,Public expenditure and fiscal management,„na,,20-Nov-08,4-Oct-12,Successful,Highly relevant,Effective,Less than efficient,Likely sustainable,Yes,28-Dec-16,Successful,Relevant,Effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2013,Successful,Relevant,Effective,Less than efficient,Likely sustainable
G0123,39674-022 ,Kyrgyz Republic,KGZ,KGZ,Central West Asia,A,A,CWRD,CAREC Transport Corridor 1 Bishkek_Torugart Road) Project,Project,Project grant,ADF,ADF,20,17.54,14-Nov-08,2008,24-Nov-08,23-Jan-09,23-Jan-09,30-Sep-12,11-Mar-13,0,0,30.3,21.33,Transport and ICT,Road Transport ,Transport,TRA,Road transport (non-urban),„na,„na,24-Oct-08,1-Jul-13,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,13-Dec-16,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable
G0079,32313,Lao People's Democratic Republic,LAO,LAO,Southeast Asia,A,A,SERD,Health System Development Project,Project,Project grant,ADF,ADF,13,12.99,29-Jun-07,2007,15-Aug-07,1-Oct-07,1-Oct-07,31-Mar-12,7-Mar-13,0,0,15,15.56,Health and social protection,Health Systems ,Health,HLT,Health sector development and reform,„na,„na,8-Jun-07,18-Jul-13,Successful,Highly relevant,Effective,Less than efficient,Likely sustainable,Yes,14-Aug,Successful,Relevant,Effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Successful,Relevant,Effective,Less than efficient,Likely sustainable
G0067/G0068,37393,Afghanistan,AFG,AFG,Central West Asia,A,A,CWRD,Private Sector and Financial Market Development Program,Program,Program grant,ADF,ADF,60,58.31,14-Dec-06,2006,14-Mar-07,13-Jun-07,18-Jun-07,30-Jun-10,28-Jan-11,0,0,60.3,58.31,Finance,Finance Sector Development,Finance,FIN,Finance sector development,„na,„na,23-Nov-06,28-Dec-11,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,Yes,14-Apr,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable
G0046,38581-022,Viet Nam,VNM,VIE,Southeast Asia,B,B1,SERD,HIV/AIDS Prevention among Youth Project,Project,Project grant,ADF,ADF,20,16.85,30-Jun-06,2006,24-Jul-06,2-Nov-06,2-Nov-06,31-Dec-11,4-Feb-13,0,0,26.7,22.95,Health and social protection,Health Programs,Health,HLT,Disease control of communicable disease,ANR,„na,9-Jun-06,17-Oct-13,Successful,Relevant,Effective,Less than efficient,Likely sustainable,Yes,14-Nov,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Successful,Relevant,Effective,Efficient,Likely sustainable
G0034/G0035,39603,Cambodia,KHM,CAM,Southeast Asia,A,A,SERD,Tonle Sap Sustainable Livelihoods Project,Project,Project grant,ADF,ADF/Finland,19.74,14.74,21-Dec-05,2005,9-Mar-06,6-Jun-06,19-Jun-06,20-Jul-11,31-Dec-10,0,0,20.3,19.98,Agriculture and Natural Resources,Water-Based Natural Resources Management,"Agriculture, natural resources and rural development",ANR,Water-based natural resources management,„na,„na,29-Nov-05,4-Jul-12,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,Yes,1-Nov-14,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2013,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable
G0020,39304-012,Kyrgyz Republic,KGZ,KGZ,Central West Asia,A,A,CWRD,Second Education Project,Project,Project grant,ADF,ADF,15.5,14.13,27-Oct-05,2005,5-Nov-05,3-Feb-06,6-Apr-06,30-Jun-11,14-Sep-12,0,0,21.85,17.66,Education,Basic education,Education,EDU,Education sector development - social protection initiatives,„na,„na,6-Oct-05,26-Jun-13,Successful,Relevant,Less than effective,Efficient,Likely sustainable,Yes,1-Dec-14,Less than successful,Less than relevant,Less than effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2013,Less than successful,Less than relevant,Less than effective,Efficient,Likely sustainable
2625/2801,43191,Samoa,WSM,SAM,Pacific,A,A,PARD,Economic Recovery Support Program Subprograms 1 and 2,Program,Program loan,ADF,ADF,26.82,25.84,14-Apr-10,2010,22-Apr-10,21-Jul-10,25-Jun-10,30-Apr-11,14-Dec-11,0,0,26.82,25.84,Multisector,"Public sector management; transport, and information and communication technology; heath and social protection",Public sector management,PSM,"Economic affairs management, 
Public expenditure and fiscal management, Reforms of state owned enterprises, 
Social protection initiatives",EDU ENE ICT WUS,"Pre-primary and primary - social protection initiatives; Energy sector development and institutional reform;  ICT strategy and policy, and capacity development; Urban housing",24-Mar-10,24-Mar-14,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,15-Jan,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Successful,Relevant,Effective,Efficient,Likely sustainable
2597/2598,39658-013,Maldives,MDV,MLD,South Asia,A,A,SARD,Economic Recovery Program,Program,Program loan,ADF,ADF/OCR,36.5,33.06,9-Dec-09,2009,18-Mar-10,16-Jun-10,8-Jun-10,31-Dec-12,18-Dec-12,112,33,232.5,150.07,Multisector,Multisector,Public sector management,PSM,Reforms of state owned enterprises,„na,„na,18-Nov-09,12-Sep-13,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,14-Nov,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Successful,Relevant,Effective,Efficient,Less than likely sustainable
2523/0151,43096,Mongolia,MNG,MON,East Asia,B,A,EARD,Social Sectors Support Program,Program,Program loan,ADF,ADF,60,60.77,24-Jun-09,2009,26-Jun-09,15-Jul-09,15-Jul-09,31-Dec-10,30-Sep-12,0,0,60,60.77,Multisector,Multisector,Public sector management,PSM,Social protection initiatives,EDU HLT,"Education sector development; Health care finance, Nutrition",3-Jun-09,18-Mar-13,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,1-Nov-14,Successful,Relevant,Effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2013,Successful,Relevant,Effective,Less than efficient,Likely sustainable
2484/2645,41545-013,Pakistan,PAK,PAK,Central West Asia,B,B,CWRD,Sindh Growth & Rural Revitalization Program,Program,Program loan,ADF,ADF,220,219.89,11-Dec-08,2008,17-Dec-08,17-Dec-08,26-Dec-08,30-Apr-09,22-Jan-09,0,0,220,219.89,"Law, economic management, and public policy",Economic management,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,24-Nov-08,31-Mar-14,Less than successful,Less than relevant,Effective,Efficient,Less than likely sustainable,Yes,15-Jan,Less than successful,Less than relevant,Less than effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Less than successful,Less than relevant,Less than effective,Efficient,Less than likely sustainable
2404/2509,40655,India,IND,IND,South Asia,B,B2,SARD,India Infrastructure Project Financing Facility,Project,MFF-Tranche (Loan),OCR,OCR,500,500,20-Dec-07,2007,3-Mar-08,3-Mar-08,14-Apr-08,30-Nov-11,26-Aug-11,0,0,500,500,Multisector,Multisector,Finance,FIN,Infrastructure finance and investment funds,„na,„na,23-Nov-07,15-Nov-12,Highly successful,Highly relevant,Highly effective,Highly efficient,Likely sustainable,Yes,1-Nov-14,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2013,Successful,Relevant,Effective,Efficient,Likely sustainable
2387/2584,39516,Philippines,PHL,PHI,Southeast Asia,C,C,SERD,Local Government Financing and Budget Reform Program Cluster (SP 1&2),Program,Program loan,OCR,OCR,525,562.55,13-Dec-07,2007,22-Feb-08,7-Apr-08,7-Apr-08,31-Mar-08,9-Apr-08,216,216,741,778.55,Public sector management,Decentralization ,Public sector management,PSM,Decentralization,„na,„na,22-Nov-07,23-Jan-13,Highly successful,Highly relevant,Effective,Efficient,Most likely sustainable,Yes,1-Dec-14,Successful,Highly relevant,Effective,Efficient,Most likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2013,Successful,Highly relevant,Effective,Efficient,Most likely sustainable
2307/G0070,35376,Mongolia,MNG,MON,East Asia,B,A,EARD,Customs Modernization Project,Project,Project loan,ADF,ADF,5.5,5.68,20-Dec-06,2006,6-Feb-07,6-May-07,21-May-07,31-Aug-10,13-Dec-11,0,0,6.76,7.02,Industry and Trade,Trade,Industry and trade,IND,Trade and services,„na,„na,29-Nov-06,25-Mar-14,Highly successful,Highly relevant,Highly effective,Highly efficient,Most likely sustainable,Yes,15-Feb,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,15-Jul-16,Successful,Relevant,Effective,Efficient,Most likely sustainable,PPER,2014,Successful,Relevant,Effective,Efficient,Most likely sustainable
2303/8320/2304/0230,40043,Tajikistan/Afghanistan,,TAJ/AFG,Regional,A,A,CWRD,Regional Power Transmission Interconnection Project,Project,Project loan,ADF,ADF/OFID/IDB/ARTF,68.5,58.82,19-Dec-06,2006,22-Feb-07,23-May-07,22-Aug-07,31-Dec-10,16-May-11,34.6,39.4,121.9,102.9,Energy,Transmission,Energy,ENE,Electricity transmission and distribution,„na,„na,28-Nov-06,27-Jun-14,Successful,Relevant,Effective,Efficient,Less than likely sustainable,Yes,14-Nov,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Successful,Relevant,Effective,Efficient,Less than likely sustainable
2278/2715,38276,Philippines,PHL,PHI,Southeast Asia,C,C,SERD,Financial Market Regulation and  Intermediation Program,Program,Program loan,OCR,OCR,400,400,6-Dec-06,2006,11-Dec-06,11-Mar-07,20-Dec-06,15-Apr-12,15-Apr-12,0,0,400,400,Finance,Finance Sector Development ,Finance,FIN,Finance sector development,„na,„na,15-Nov-06,10-Oct-13,Successful,Relevant,Effective,Less than efficient,Likely sustainable,Yes,14-Nov,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable
2271/G0061,38603,Tajikistan,TJK,TAJ,Central West Asia,A,A,CWRD,Sustainable Cotton Subsector Project,Project,Project loan,ADF,ADF,12,8.84,3-Nov-06,2006,10-Jan-07,10-Apr-07,21-Feb-07,30-Sep-10,7-Jan-13,0,0,15.29,9.89,Agriculture and Natural Resources,"Agriculture production, agroprocessing, and agribusiness",Finance,FIN,Inclusive finance,ANR,"Agricultural policy, institutional and capacity development",13-Oct-06,3-Apr-14,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,Yes,15-Jan,Less than successful,Less than relevant,Less than effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Less than successful,Less than relevant,Less than effective,Less than efficient,Less than likely sustainable
2252/2253/9095/9096,33357-013,Lao People's Democratic Republic,LAO,LAO,Southeast Asia,A,A,SERD,Rural Finance Sector Development Program,Program/Project,SDP - Program loan,ADF,ADF,10,10.22,17-Aug-06,2006,30-Nov-06,28-Feb-07,12-Mar-07,31-Mar-11,12-Oct-12,0.28,0.28,11.04,11.27,Finance,Finance Sector Development ,Finance,FIN,Finance sector development,„na,„na,27-Jul-06,14-Oct-13,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,14-Nov,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Successful,Relevant,Effective,Efficient,Likely sustainable
2213/G0029/G0037,39631-013,Pakistan,PAK,PAK,Central West Asia,B,B1,CWRD,Earthquake Emergency Assistance Project,Project,Special assistance loan,ADF,ADF,300,346.62,13-Dec-05,2005,23-Dec-05,23-Mar-06,14-Feb-06,30-Jun-09,30-Jun-11,37.5,32.28,374.2,448.3,Multisector,Multisector,Transport,TRA,Road transport (non-urban),PSM,,6-Dec-05,16-Nov-12,Successful,Relevant,Highly effective,Efficient,Likely sustainable,Yes,1-Dec-14,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2013,Successful,Relevant,Effective,Efficient,Less than likely sustainable
2210/2231,37559,Pakistan,PAK,PAK,Central West Asia,B,B1,CWRD,National Highway Development Sector Investment Program„Project 1,Project,Project loan,ADF,ADF/OCR,124.7,123.68,13-Dec-05,2005,14-Jun-06,14-Sep-06,27-Jul-06,31-Dec-10,31-Mar-11,0,0,223.3,160.18,Transport and ICT,Road Transport,Transport,TRA,Road transport (non-urban),„na,„na,22-Nov-05,13-Dec-11,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,14-May,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2012,Successful,Relevant,Effective,Efficient,Less than likely sustainable
2196/0023/G0154,38236-013/38236-022,Tajikistan,TJK,TAJ,Central West Asia,A,A,CWRD,"Kyrgyz Border Road Rehabilitation Project, Phase II",Project,Project loan,ADF,ADF,50,51.7,17-Nov-05,2005,14-Feb-06,15-May-07,13-Mar-06,31-Dec-09,30-Sep-10,0,0,64.5,59.93,Transport and ICT,Road Transport ,Transport,TRA,Road transport (non-urban),„na,„na,27-Oct-05,27-Jun-13,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,14-Dec,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2013,Successful,Relevant,Effective,Efficient,Likely sustainable
2195/G0022,34356,Viet Nam,VNM,VIE,Southeast Asia,B,B1,SERD,Central Region Transport Networks Improvement Sector Project,Project,Sector loan,ADF,ADF,95,93.67,11-Nov-05,2005,30-Nov-05,28-Feb-06,28-Feb-06,31-Dec-10,10-Jun-13,11,14.43,138,139.04,Transport and ICT,Road Transport ,Transport,TRA,Road transport (non-urban),„na,„na,21-Oct-05,15-Oct-13,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,14-Oct,Successful,Relevant,Less than effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Successful,Relevant,Less than effective,Efficient,Likely sustainable
2167/G0006,39144,Sri Lanka,LKA,SRI,South Asia,B,B1,SARD,Tsunami-Affected Areas Rebuilding Project,Project,Project loan,ADF,ADF/ATF,157,154.6,14-Apr-05,2005,28-Apr-05,28-Jul-05,28-Jul-05,30-Jun-09,1-Apr-11,63.2,86.4,259.3,261.7,Multisector,Multisector,Transport,TRA,Road transport (non-urban),PSM,,7-Apr-05,12-Nov-12,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,14-Oct,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2013,Successful,Relevant,Effective,Efficient,Likely sustainable
2163/2164,34152,Indonesia,IDN,INO,Southeast Asia,C,B2,SERD,"Community Water Services and Health
Project",Project,Project loan,OCR,ADF/OCR,64.69,34.55,7-Apr-05,2005,27-Dec-05,27-Mar-06,12-Apr-06,31-Dec-11,5-Jul-13,0,0,92.39,50.97,Multisector,Multisector,Health,HLT,Health system development,ANR,,31-Mar-05,11-Oct-13,Less than successful,Relevant,Effective,Less than efficient,Likely sustainable,Yes,14-Dec,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable
2157/4571L,35289-013,"China, People's Republic of",CHN,PRC,East Asia,C,B2,EARD,Sanjiang Plain Wetlands Protection Project,Project,Project loan,OCR,OCR,15,14.99,14-Mar-05,2005,18-Jul-05,19-Oct-05,9-Dec-05,31-Dec-10,30-May-13,0,0,55.55,52.51,Agriculture and natural resources,Water-Based Natural Resources Management ,"Agriculture, natural resources and rural development",ANR,Water-based natural resources management,„na,„na,21-Feb-05,15-Oct-13,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,14-Sep,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,1-Dec-15,Successful,Relevant,Effective,Efficient,Likely to be sustainable,PPER,2014,Successful,Relevant,Effective,Efficient,Likely to be sustainable
2141/2142/2442,36308-013,India,IND,IND,South Asia,B,B2,SARD,Assam Governance and Public Resource Management Sector Development Program,Program/Project,SDP - Program loan,OCR,OCR,250,247.03,16-Dec-04,2004,16-Dec-04,16-Mar-05,17-Dec-04,31-Dec-07,14-Feb-13,0,0,250,247.03,Public sector management,Public Expenditure and Fiscal Management ,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,25-Nov-04,7-Oct-13,Successful,Highly relevant,Highly effective,Efficient,Likely sustainable,Yes,14-Nov,Successful,Highly relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2014,Successful,Highly relevant,Effective,Efficient,Likely sustainable
